date,state,cases_avg,deaths_avg
2020-04-13,Texas,905.29,23
2020-04-13,Tennessee,247.14,7
2020-04-13,South Dakota,82.71,0.29
2020-04-13,South Carolina,172.43,5.57
2020-04-13,Rhode Island,270.57,6.57
2020-04-13,Pennsylvania,1602.86,56.14
2020-04-13,Oregon,64.57,3.43
2020-04-13,Oklahoma,106.14,6.71
2020-04-13,Ohio,360.71,18.86
2020-04-13,North Dakota,15.14,0.86
2020-04-13,North Carolina,274,7
2020-04-13,New York,9226.29,978.43
2020-04-13,New Mexico,94.14,2.71
2020-04-13,New Jersey,3356.29,205.43
2020-04-13,New Hampshire,43.57,2
2020-04-13,Nevada,152.14,8
2020-04-13,Nebraska,61.71,1.29
